x	x			衛星画像	衛星画像
1	2.2.05	施設情報	観光・産業	農業施設一覧	農業施設一覧
1	2.2.06	施設情報	観光・産業	農業体験施設	農業体験施設
1	2.3.01	施設情報	文化・スポーツ・公園	グラウンド	グラウンド
1	2.3.02	施設情報	文化・スポーツ・公園	その他スポーツ施設	その他スポーツ施設
1	2.3.03	施設情報	文化・スポーツ・公園	テニスコート	テニスコート
1	2.3.04	施設情報	文化・スポーツ・公園	プール	プール
1	2.3.05	施設情報	文化・スポーツ・公園	ホール	ホール
1	2.3.06	施設情報	文化・スポーツ・公園	公園	公園
1	2.3.07	施設情報	文化・スポーツ・公園	図書館	図書館
1	2.3.08	施設情報	文化・スポーツ・公園	体育館・武道館	体育館・武道館
1	2.3.09	施設情報	文化・スポーツ・公園	道の駅一覧	道の駅一覧
1	2.3.10	施設情報	文化・スポーツ・公園	美術館	美術館
1	2.3.11	施設情報	文化・スポーツ・公園	文化財	文化財
1	2.3.12	施設情報	文化・スポーツ・公園	野球場ほか	野球場ほか
1	2.3.13	施設情報	文化・スポーツ・公園	陸上競技場	陸上競技場
1	2.3.14	施設情報	文化・スポーツ・公園	歴史・民俗施設	歴史・民俗施設
1	2.3.15	施設情報	文化・スポーツ・公園	農村公園	農村公園
1	2.4.01	施設情報	保健・医療・福祉	グループホーム	グループホーム
1	2.4.02	施設情報	保健・医療・福祉	その他福祉施設	その他福祉施設
1	2.4.03	施設情報	保健・医療・福祉	医療機関	医療機関
1	2.4.04	施設情報	保健・医療・福祉	市立病院	市立病院
1	2.4.05	施設情報	保健・医療・福祉	小規模多機能型居宅介護施設	小規模多機能型居宅介護施設
1	2.4.06	施設情報	保健・医療・福祉	障がい福祉施設	障がい福祉施設
1	2.4.07	施設情報	保健・医療・福祉	診療所	診療所
1	2.4.08	施設情報	保健・医療・福祉	地域包括支援センター	地域包括支援センター
1	2.4.09	施設情報	保健・医療・福祉	福祉会館・社会福祉協議会	福祉会館・社会福祉協議会
1	2.4.10	施設情報	保健・医療・福祉	保健所・保健センター	保健所・保健センター
1	2.4.11	施設情報	保健・医療・福祉	老人いこいの家など	老人いこいの家など
1	2.4.12	施設情報	保健・医療・福祉	老人福祉センターなど	老人福祉センターなど
1	2.4.13	施設情報	保健・医療・福祉	老人福祉施設	老人福祉施設
1	2.5.01	施設情報	教育・子育て	その他子育て支援施設	その他子育て支援施設
1	2.5.02	施設情報	教育・子育て	学校給食調理場	学校給食調理場
1	2.5.03	施設情報	教育・子育て	企業主導型保育施設一覧	企業主導型保育施設一覧
	2.5.04	施設情報	教育・子育て	公立放課後児童クラブ一覧	公立放課後児童クラブ一覧
1	2.5.05	施設情報	教育・子育て	高等学校など	高等学校など
1	2.5.06	施設情報	教育・子育て	児童館など	児童館など
